"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
130	55	7	4	7	"FSF"
130	56	7	4	7	"FSF"
130	57	7	3	7	"FSF"
130	58	7	3	7	"FSF"
130	59	7	3	7	"FSF"
130	60	8	5	8	"FSF"
130	61	8	2	8	"FSF"
130	62	8	5	8	"FSF"
130	63	6	3	6	"FSF"
130	64	6	2	6	"FSF"
130	65	9	4	9	"FSF"
130	66	9	5	9	"FSF"
130	67	6	2	6	"FSF"
130	68	7	2	7	"FSF"
130	69	7	6	7	"FSF"
130	70	7	2	7	"FSF"
130	71	6	4	6	"FSF"
130	72	6	1	6	"FSF"
130	73	8	5	8	"FSF"
130	74	7	5	7	"FSF"
130	75	8	6	8	"FSF"
130	76	7	2	7	"FSF"
130	77	7	3	7	"FSF"
130	78	7	2	7	"FSF"
130	79	8	5	8	"FSF"
130	80	6	4	6	"FSF"
130	81	8	1	8	"FSF"
130	82	6	2	6	"FSF"
130	83	7	6	7	"FSF"
130	84	7	3	7	"FSF"
130	85	6	0	6	"FSF"
130	86	6	3	6	"FSF"
130	87	7	3	7	"FSF"
130	88	6	4	6	"FSF"
130	89	8	5	8	"FSF"
130	90	7	5	7	"FSF"
130	91	8	2	8	"FSF"
130	92	8	4	8	"FSF"
130	93	6	3	6	"FSF"
130	94	6	4	6	"FSF"
130	95	6	2	6	"FSF"
130	96	7	1	7	"FSF"
130	97	5	3	5	"FSF"
130	98	7	3	7	"FSF"
130	99	7	4	7	"FSF"
130	100	7	4	7	"FSF"
130	101	7	4	7	"FSF"
130	102	7	3	7	"FSF"
130	103	7	6	7	"FSF"
130	104	7	3	7	"FSF"
130	105	7	3	7	"FSF"
130	106	6	3	6	"FSF"
130	107	6	5	6	"FSF"
130	108	6	2	6	"FSF"
130	109	6	3	6	"FSF"
130	110	8	3	8	"FSF"
130	111	7	4	7	"FSF"
130	112	7	5	7	"FSF"
130	113	6	3	6	"FSF"
130	114	7	1	7	"FSF"
130	115	7	2	7	"FSF"
130	116	6	4	6	"FSF"
130	117	5	2	5	"FSF"
130	118	6	4	6	"FSF"
130	119	6	4	6	"FSF"
130	120	7	2	7	"FSF"
130	121	7	5	7	"FSF"
130	122	7	4	7	"FSF"
130	123	6	3	6	"FSF"
130	124	6	5	6	"FSF"
130	125	7	2	7	"FSF"
130	126	7	4	7	"FSF"
130	127	6	4	6	"FSF"
130	128	7	0	7	"FSF"
130	129	6	3	6	"FSF"
130	130	6	1	6	"FSF"
140	1	7	0	7	"FSF"
140	2	8	0	8	"FSF"
140	3	8	0	8	"FSF"
140	4	9	0	9	"FSF"
140	5	8	1	8	"FSF"
140	6	8	0	8	"FSF"
140	7	7	0	7	"FSF"
140	8	9	0	9	"FSF"
140	9	9	1	9	"FSF"
140	10	8	0	8	"FSF"
140	11	8	0	8	"FSF"
140	12	7	0	7	"FSF"
140	13	7	1	7	"FSF"
140	14	7	1	7	"FSF"
140	15	7	1	7	"FSF"
140	16	8	2	8	"FSF"
140	17	8	0	8	"FSF"
140	18	7	2	7	"FSF"
140	19	6	0	6	"FSF"
140	20	8	2	8	"FSF"
140	21	6	1	6	"FSF"
140	22	8	2	8	"FSF"
140	23	7	0	7	"FSF"
140	24	8	3	8	"FSF"
140	25	8	1	8	"FSF"
140	26	9	1	9	"FSF"
140	27	8	2	8	"FSF"
140	28	7	2	7	"FSF"
140	29	7	2	7	"FSF"
140	30	8	2	8	"FSF"
140	31	8	2	8	"FSF"
140	32	7	1	7	"FSF"
140	33	7	2	7	"FSF"
140	34	8	4	8	"FSF"
140	35	7	2	7	"FSF"
140	36	7	2	7	"FSF"
140	37	6	4	6	"FSF"
140	38	8	2	8	"FSF"
140	39	7	2	7	"FSF"
140	40	7	3	7	"FSF"
140	41	7	1	7	"FSF"
140	42	8	4	8	"FSF"
140	43	8	4	8	"FSF"
140	44	7	2	7	"FSF"
140	45	8	2	8	"FSF"
140	46	7	0	7	"FSF"
140	47	8	4	8	"FSF"
